PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,AgeGroup
1,1,2,female,59.2,0,0,28.34,S,1,1,Adult
2,1,3,female,20.5,0,3,6.22,S,4,0,Young Adult
3,0,3,male,39.4,0,0,10.0,C,1,1,Adult
4,1,3,female,33.2,0,0,37.31,S,1,1,Young Adult
5,1,1,male,47.2,2,0,68.45,S,3,0,Adult
6,0,1,male,28.7,1,0,71.97,C,2,0,Young Adult
7,1,1,female,29.4,4,0,100.83250000000001,S,5,0,Young Adult
8,1,3,male,18.5,0,1,13.43,Q,2,0,Young Adult
9,0,3,male,35.4,3,0,20.62,S,4,0,Adult
10,1,3,male,19.5,0,0,8.47,S,1,1,Young Adult
11,1,1,male,57.2,0,0,87.04,C,1,1,Adult
12,0,3,male,30.9,0,3,23.52,S,4,0,Young Adult
13,0,3,male,23.9,0,0,11.33,C,1,1,Young Adult
14,1,1,male,31.6,1,0,57.5,C,2,0,Young Adult
15,1,1,female,10.1,0,0,92.4,C,1,1,Child
16,0,1,female,15.4,0,0,86.41,Q,1,1,Teen
17,0,2,male,45.8,0,0,38.41,S,1,1,Adult
18,1,3,male,28.7,0,0,100.83250000000001,S,1,1,Young Adult
19,1,2,male,14.3,0,1,31.17,S,2,0,Teen
20,0,2,male,36.5,0,0,12.31,S,1,1,Adult
21,0,3,male,45.6,1,1,4.73,C,3,0,Adult
22,1,1,male,39.1,1,0,49.66,S,2,0,Adult
23,0,2,male,42.9,0,0,21.03,S,1,1,Adult
24,1,2,male,18.4,0,0,11.62,S,1,1,Young Adult
25,0,3,male,9.1,0,0,10.09,S,1,1,Child
26,0,3,male,50.0,1,0,5.83,Q,2,0,Adult
27,1,1,female,28.7,0,0,96.09,S,1,1,Young Adult
28,0,3,female,25.5,0,0,6.48,S,1,1,Young Adult
29,0,3,male,47.6,0,0,6.14,C,1,1,Adult
30,1,1,female,28.7,0,4,83.46,S,5,0,Young Adult
31,0,3,male,35.4,0,0,19.83,S,1,1,Adult
32,1,1,female,59.3,1,2,55.61,S,4,0,Adult
33,1,1,female,20.0,0,0,85.94,S,1,1,Young Adult
34,0,3,male,28.7,0,0,26.84,S,1,1,Young Adult
35,1,3,male,29.8,1,0,6.65,C,2,0,Young Adult
36,1,3,male,32.8,1,0,35.87,S,2,0,Young Adult
37,0,2,male,50.4,0,0,52.61,Q,1,1,Adult
38,1,1,male,36.1,0,0,100.83250000000001,C,1,1,Adult
39,1,3,male,36.5,0,2,16.12,S,3,0,Adult
40,1,2,male,28.7,2,1,18.87,S,4,0,Young Adult
41,1,1,female,23.9,0,0,100.83250000000001,S,1,1,Young Adult
42,0,3,female,17.3,2,0,7.08,S,3,0,Teen
43,1,1,male,14.4,1,0,26.73,Q,2,0,Teen
44,0,3,male,1.5,0,0,24.8,S,1,1,Child
45,0,2,male,57.8,0,0,31.87,S,1,1,Adult
46,0,3,male,13.6,0,2,9.66,S,3,0,Teen
47,1,2,female,25.9,0,0,26.31,S,1,1,Young Adult
48,0,3,male,25.1,0,0,15.38,S,1,1,Young Adult
49,1,3,male,33.3,0,0,18.08,S,1,1,Young Adult
50,1,1,male,40.4,3,0,96.97,S,4,0,Adult
51,0,3,male,41.0,0,0,11.78,S,1,1,Adult
52,0,3,female,20.8,1,0,13.42,S,2,0,Young Adult
53,0,3,female,26.7,0,0,19.73,C,1,1,Young Adult
54,1,3,male,33.0,0,0,8.48,S,1,1,Young Adult
55,0,3,male,28.7,0,0,7.86,S,1,1,Young Adult
56,1,3,male,51.5,0,4,9.7,S,5,0,Adult
57,1,1,female,35.9,2,0,32.29,S,3,0,Adult
58,1,1,female,39.3,0,0,100.83250000000001,Q,1,1,Adult
59,1,1,male,38.3,0,0,100.83250000000001,S,1,1,Adult
60,0,2,male,45.4,0,0,21.75,S,1,1,Adult
61,0,2,female,31.5,0,0,35.33,C,1,1,Young Adult
62,0,2,male,10.8,0,1,18.77,C,2,0,Child
63,1,3,female,34.6,1,0,6.96,S,2,0,Young Adult
64,0,2,male,19.9,1,0,21.71,S,2,0,Young Adult
65,0,2,male,21.6,0,0,18.21,S,1,1,Young Adult
66,0,3,male,28.7,0,0,7.95,S,1,1,Young Adult
